Key,English,French,Spanish
RollDice,Roll the Dice,Lancer les dés,Tirar los dados
Rolled,Rolled,Roulé,Arrollado
Click,Click to Continue,Cliquez pour continuer,Haz click para continuar
Winner,Winner,Gagnant,Ganador
Card1,If a handicapped child came up and wanted to play with me; I would feel ………. What could I do?,Si un enfant handicapé est venu et voulait jouer avec moi; Je me sentirais .......... Que pouvais-je faire?,Si un niño discapacitado se acercó y quería jugar conmigo; Me sentiría ………. ¿Qué puedo hacer?
Card2,If my friend gets angry when I play with someone else; I feel ………. What could I do?,Si mon ami se fâche quand je joue avec quelqu'un d'autre; Je ressens ………. Que pouvais-je faire?,Si mi amigo se enoja cuando juego con otra persona; Siento ………. ¿Qué puedo hacer?
Card3,If a friend stood up for a handicapped person; I would feel ………. What could I do?,Si un ami s'est levé pour une personne handicapée; Je me sentirais .......... Que pouvais-je faire?,Si un amigo defendió a una persona discapacitada; Me sentiría ………. ¿Qué puedo hacer?
Card4,If my friends wanted to do something that I know is bad; I would feel …………. What could I do?,Si mes amis voulaient faire quelque chose que je sais être mauvais; Je me sentirais ............ Que pouvais-je faire?,Si mis amigos querían hacer algo que yo sé que es malo; Me sentiría …………. ¿Qué puedo hacer?
Card5,If my friend stole candy in the store; I would feel ………. What could I do?,Si mon ami a volé des bonbons dans le magasin; Je me sentirais .......... Que pouvais-je faire?,Si mi amigo robó dulces en la tienda; Me sentiría ………. ¿Qué puedo hacer?
Card6,When boys say “no girls allowed;” I feel ………. What could I do?,Quand les garçons disent pas de filles autorisées; je me sens .......... Que pouvais-je faire?,"Cuando los niños dicen ""no se permiten chicas""; me siento .......... ¿Qué puedo hacer?"
Card7,If my friend only wanted to play with me when no one else was around; I would feel ……….,Si mon ami voulait seulement jouer avec moi quand il n'y avait personne d'autre; Je me sentirais ..........,Si mi amigo solo quería jugar conmigo cuando no había nadie más cerca; Me sentiría ……….
Card8,When kids call someone “four eyes;” I feel ………. What could I do?,Que pouvais-je faire? Quand les enfants appellent quelqu'un quatre yeux; je me sens .......... Que pouvais-je faire?,"¿Qué puedo hacer? Cuando los niños llaman a alguien ""cuatro ojos""; me siento .......... ¿Qué puedo hacer?"
Card9,If my friends thought a new kid was stupid and wouldn’t play with them; I would feel ………. What could I do?,Si mes amis pensaient qu'un nouveau gamin était stupide et ne jouerait pas avec eux; Je me sentirais .......... Que pouvais-je faire?,Si mis amigos pensaran que un niño nuevo era estúpido y no jugaría con ellos; Me sentiría ………. ¿Qué puedo hacer?
Card10,If a friend borrows my things without asking; I feel ………. What could I do?,Si un ami emprunte mes affaires sans demander; Je ressens ………. Que pouvais-je faire?,Si un amigo toma prestado mis cosas sin preguntar; Siento ………. ¿Qué puedo hacer?
Card11,If I heard that one of my friend’s parents had been drinking; I would feel ……….,Si j'avais entendu dire que l'un des parents de mon ami avait bu; Je me sentirais ..........,Si escuché que uno de los padres de mi amigo había estado bebiendo; Me sentiría ……….
Card12,If I see a boy pull a girl’s “bra” strap to make it snap; I feel ………. What could I do?,Que pouvais-je faire? Si je vois un garçon tirer la sangle «soutien-gorge» d'une fille pour le faire craquer; Je ressens ………. Que pouvais-je faire?,"¿Qué puedo hacer? Si veo a un chico; tira de la correa del ""sujetador"" de una chica para que se rompa; Siento ………. ¿Qué puedo hacer?"
Card13,If I hear people talk about dirty lazy Indians; I feel ………. What could I do?,Si j'entends des gens parler d'Indiens paresseux et sales; Je ressens ………. Que pouvais-je faire?,Si escucho a la gente hablar sobre indios vagos y sucios; Siento ………. ¿Qué puedo hacer?
Card14,If someone pulled my hair; I would feel ………. What could I do?,Si quelqu'un a tiré mes cheveux; Je me sentirais .......... Que pouvais-je faire?,Si alguien me tiró del pelo; Me sentiría ………. ¿Qué puedo hacer?
Card15,If someone bragged about winning a game or a race; I would feel ………. What could I do?,Si quelqu'un se vante de gagner un match ou une course; Je me sentirais .......... Que pouvais-je faire?,Si alguien se jactaba de ganar un juego o una carrera; Me sentiría ………. ¿Qué puedo hacer?
