key,English,French,Spanish
Start,Start,Début,comienzo
RollDice,Roll the Dice,Lancer les dés,Tirar los dados
Rolled,Rolled,Roulé,Arrollado
Click,Click to Continue,Cliquez pour continuer,Haz click para continuar
Winner,Winner,Gagnant,Ganador
GoWalk,Go for a walk,Aller se promener,Ir a caminar
GoWalkDesc,How does gogin for a walk help to deal with Anger?,Comment Gogin marche-t-il pour faire face à la colère?,¿Cómo ayuda Gogin a caminar a lidiar con la ira?
ListenMusic,Listen to the music,Écouter de la musique,Escuchar la música
ListenMusicDesc,How does Listenign to music help to deal with Anger?,Comment Listenign à la musique aide-t-il à gérer la colère?,¿Cómo ayuda la música de Listenign a lidiar con la ira?
TalkFriends,Talk with Friends,Parler avec des amis,Hablar con amigos
TalkFriendsDesc,How does talking with friends help to deal with Anger?,Comment parler avec des amis aide-t-il à gérer la colère?,¿Cómo ayuda hablar con amigos para lidiar con la ira?
WritePoem,Write a Poem,Écrire un poème,Escribe un poema
WritePoemDesc,How does writing a poem help to deal with Anger?,Comment écrire un poème aide-t-il à gérer la colère?,¿Cómo ayuda escribir un poema para lidiar con la ira?
FloweredCross,The Flowered Cross,La Croix fleurie,La cruz florecida
FloweredCrossDesc,Safetly.Tell about places you feel safe and/or people you feel safe with. Or tell about things you like to do or would like to do.,Parlez en toute sécurité des endroits où vous vous sentez en sécurité et / ou des personnes avec lesquelles vous vous sentez en sécurité. Ou parlez de choses que vous aimez faire ou que vous aimeriez faire.,Safetly. Infórmele sobre lugares en los que se siente seguro y / o con los que se siente seguro. O cuéntanos cosas que te gustaría hacer o te gustaría hacer.
BlueDragon,The Blue Dragon,Le dragon bleu,El dragón azul
BlueDragonDesc,Someone is angry at you. Tell a story about when someone was angry at you or what you do that makes people angry.,Quelqu'un est en colère contre vous. Raconter une histoire à propos de quand quelqu'un était en colère contre vous ou ce que vous faites qui met les gens en colère.,Alguien está enojado contigo. Cuenta una historia sobre cuando alguien estaba enojado contigo o lo que haces que enoja a la gente.
GreenDragon,The Green Dragon,Le dragon vert,El dragón verde
GreenDragonDesc,You are angry. Tell a story about when you got angry or what makes you angry.,Vous êtes en colère. Raconte une histoire à propos de quand tu t'es mis en colère ou de ce qui te met en colère.,Estás enojado. Cuenta una historia sobre cuándo te enojaste o qué te hace enojar.
BothDragon,The Green and Red Dragons,Les Dragons verts et rouges,Los dragones verdes y rojos
BothDragonDesc,Other people are angry at each other. Tell a story about when you saw people angry at each other. What did you see other people fight about?,D'autres personnes sont en colère les uns contre les autres. Racontez une histoire à propos de quand vous avez vu des gens en colère les uns contre les autres. Sur quoi avez-vous vu d'autres personnes se battre?,Otras personas están enojadas el uno con el otro. Cuenta una historia sobre cuando viste gente enojada el uno con el otro. ¿Por qué vio a otras personas pelear?
Jewel,The Jewel,Le joyau,La joya
